1,2,3,4,5,6,7,8,9,10
07/25-18:05:21.286174, 28046, TCP, stream_tcp, 16377, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:21.294494, 28059, TCP, stream_tcp, 16366, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:21.467043, 28319, TCP, stream_tcp, 16340, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:21.549995, 28447, TCP, stream_tcp, 16377, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:22.232923, 28772, TCP, stream_tcp, 16327, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:22.327301, 28855, TCP, stream_tcp, 16333, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:56912:1, allow
07/25-18:05:22.335216, 28871, TCP, stream_tcp, 16342, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:22.370311, 28886, TCP, stream_tcp, 16375, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:22.377233, 28903, TCP, stream_tcp, 16345, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:22.580258, 29155, TCP, stream_tcp, 16390, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:22.667983, 29283, TCP, stream_tcp, 16332, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:22.897840, 29604, TCP, stream_tcp, 16411, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:22.956832, 29670, TCP, stream_tcp, 16382, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:56912:1, allow
07/25-18:05:22.970990, 29702, TCP, stream_tcp, 16413, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:22.970990, 29702, TCP, stream_tcp, 16413, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:22.979473, 29717, TCP, stream_tcp, 16362, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:23.173565, 29962, TCP, stream_tcp, 16360, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:23.271385, 30084, TCP, stream_tcp, 16377, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:24.022087, 30419, TCP, stream_tcp, 16433, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
